name,address,latitude,longitude
연세슬기병원,"서울특별시 성동구 무학로2길 8, (도선동)",37.5642758,127.0306881
연세우리병원,"서울특별시 송파구 백제고분로 185, 2~9층 (잠실동)",37.5048272,127.0873673
연세한강병원,"서울특별시 마포구 마포대로 25, 대농빌딩 2,3,5층 (마포동)",37.5393783,126.9448354
염창환병원,"서울특별시 송파구 오금로 296, 재정빌딩 지하1층~지상5층 (가락동)",37.5035124,127.1253937
영동병원,"서울특별시 동대문구 한천로 4, (장안동,외1필지(413-8))",37.5632524,127.0585634
예스병원,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",37.491706,126.8834154
올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",37.4862375,127.0043999
올바른서울병원,"서울특별시 강동구 양재대로 1525, 명품빌딩 (천호동)",37.5420953,127.1412951
올센병원,"서울특별시 마포구 독막로 241-1, 지하2-3층, 지상2-5층 (대흥동)",37.5465933,126.9403108
왕십리휴병원,"서울특별시 동대문구 무학로 88, (용두동, 지하2~지상8층)",37.5721108,127.0312594
우리들병원,"서울특별시 강남구 학동로 445, 우리들병원 (청담동)",37.5190451,127.0497016
원탑병원,"서울특별시 강서구 등촌로 15, 3~6층 (화곡동)",37.5312662,126.8634292
웰튼병원,"서울특별시 강서구 마곡중앙5로 22, 지하1,2층 4,11,12층호 (마곡동)",37.5672498,126.825303
위드힘병원,"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 2,4,5층 (길동)",37.536395,127.1391046
위비앙병원,"서울특별시 마포구 신촌로 240, (아현동)",37.5569548,126.9524149
유광사여성병원,"서울특별시 강서구 강서로 194, (화곡동)",37.5435838,126.8388825
윤호병원,"서울특별시 강남구 압구정로 304, 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",37.5288504,127.0344243
은평연세병원,"서울특별시 은평구 연서로 177, (갈현동)",37.6146994,126.9174726
의료법인 상원의료재단 강북힘찬병원,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)",37.645661,127.033394
의료법인 서울효천의료재단 에이치플러스재활자립병원,"서울특별시 구로구 공원로6가길 4, 고려 수 타워 (구로동)",37.5019059,126.8916155
의료법인 성누가의료재단 성누가병원,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",37.6104968,126.9302534
의료법인 우리아이들 의료재단 우리아이들병원,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",37.5021368,126.88244
의료법인 우신향병원,"서울특별시 성북구 안암로 99, (안암동5가)",37.5848991,127.0312669
의료법인 인봉의료재단 영등포병원,"서울특별시 영등포구 당산로31길 10, (당산동3가)",37.5268544,126.8958262
의료법인 청해의료재단 제일병원,"서울특별시 서초구 서초대로 116, (방배동)",37.4878422,126.995067
의료법인 춘혜의료재단 명지춘혜재활병원,"서울특별시 영등포구 대림로 223, (대림동, 명지춘혜병원)",37.5006662,126.8970446
의료법인마리아의료재단마리아병원,"서울특별시 동대문구 천호대로 20, (신설동)",37.5742265,127.0253291
의료법인마리아의료재단마리아병원,"서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)",37.4932775,127.1244081
의료법인서광의료재단 성북중앙병원,"서울특별시 성북구 종암로 72, (종암동)",37.5971143,127.0356968
