name,park_type,address,latitude,longitude,park_area,district_name
동마장,어린이공원,서울특별시 성동구 마장로42길 13 동마장어린이공원,37.56622804,127.0456969,1090.9,성동구
성원,어린이공원,서울특별시 성동구 상원10길 21,37.55011556,127.0499031,982.5,성동구
성수,근린공원,서울특별시 성동구 연무장3길 14,37.54477086,127.0518411,5197.7,성동구
용답휴식,근린공원,서울특별시 성동구 천호대로 232,37.56999106,127.0468202,6046.9,성동구
금호,근린공원,서울특별시 성동구 금호산길 5-15(금호동3가),37.54904117,127.0190199,13467.8,성동구
행당4구역,소공원,서울특별시 성동구 행당로6길 74,37.5555693,127.0320798,1235.0,성동구
하왕1-5구역,소공원,서울특별시 성동구 무학봉길 1,37.56007539,127.0241246,1451.1,성동구
트리마제,소공원,서울특별시 성동구 왕십리로 16 103동,37.53923821,127.0446715,2762.8,성동구
직녀,어린이공원,서울특별시 성동구 마장로 164 기독교대한감리회 꽃재교회,37.5667467,127.0278177,1500.0,성동구
견우,어린이공원,서울특별시 성동구 왕십리로 410,37.5665905,127.0240825,1500.0,성동구
푸른,어린이공원,서울특별시 성동구 금호로1길 38,37.54733277,127.0235968,1681.8,성동구
청계꿈나무,어린이공원,서울특별시 성동구 마장로 161,37.56781934,127.0278905,1705.0,성동구
뉴타운1구역,기타,서울특별시 성동구 마장로 137,37.56782502,127.0250536,2452.4,성동구
뉴타운2구역,기타,서울특별시 성동구 마장로 137,37.56782502,127.0250536,2517.0,성동구
왕십리 KCC스위첸,소공원,서울특별시 성동구 무학봉길 35,37.56067856,127.0268748,1514.1,성동구
매봉,소공원,서울특별시 성동구 매봉길 50,37.54729549,127.0121475,2006.7,성동구
옥정,소공원,서울특별시 성동구 매봉길 21 서울성동지역자활센터,37.5458337,127.0153489,711.76,성동구
금남,소공원,서울특별시 성동구 금호산8길 13,37.55054813,127.0213924,834.0,성동구
금옥,소공원,서울특별시 성동구 금호로 117,37.55306047,127.0214356,1230.0,성동구
장미,소공원,서울특별시 성동구 동일로 227,37.5522684,127.0694222,485.4,성동구
향림,소공원,서울특별시 성동구 성수일로10길 23,37.54703666,127.0533154,987.8,성동구
청송,소공원,서울특별시 성동구 아차산로9길 20,37.54599593,127.0587894,798.7,성동구
동부,소공원,서울특별시 성동구 왕십리로6길 30,37.54524583,127.0474356,251.0,성동구
전관원,어린이공원,서울특별시 성동구 살곶이길 327,37.55467447,127.0404902,4760.0,성동구
꽃재,어린이공원,서울특별시 성동구 마장로 161,37.56781934,127.0278897,2810.0,성동구
논골새싹,어린이공원,서울특별시 성동구 난계로 56,37.55751131,127.0250458,2837.1,성동구
밤골,어린이공원,서울특별시 성북구 화랑로13가길 17-8,37.607541,127.039921,600.0,성북구
배밭골,어린이공원,서울특별시 성북구 정릉로10길 46,37.60812583,126.9986863,263.0,성북구
삼선,어린이공원,서울특별시 성북구 삼선교로4길 147,37.58323585,127.01039,10957.0,성북구
청량,근린공원,서울특별시 성북구 화랑로32길 146-37,37.60635811,127.0539954,329290.0,성북구
개운산,근린공원,서울특별시 성북구 북악산로 949-73,37.59720671,127.0257184,208618.0,성북구
오동,근린공원,서울특별시 성북구 화랑로13가길 100,37.61064628,127.0404131,233989.7,성북구
길빛,근린공원,서울특별시 성북구 숭인로8길 52,37.60976006,127.0265188,146038.0,성북구
두레,소공원,서울특별시 성북구 서경로6길 41,37.60655851,127.0176651,287.0,성북구
길음골,소공원,서울특별시 성북구 길음로13길22,37.60944177,127.0193237,1244.0,성북구
매화,어린이공원,서울특별시 성북구 북악산로15길 42,37.60011962,127.0207412,1595.0,성북구
동망봉,어린이공원,서울특별시 성북구 보문사길 30,37.5838591,127.017073,6730.0,성북구
임금샘,어린이공원,서울특별시 송파구 양재대로71길 2010,37.51120967,127.125048,1500.3,송파구
오봉산,어린이공원,서울특별시 송파구 석촌호수로20길 13,37.50612827,127.1023092,1508.0,송파구
샛팽이,어린이공원,서울특별시 송파구 오금로42길 15,37.496755,127.1339104,1500.7,송파구
이태원어린이공원,어린이공원,서울특별시 용산구 회나무로6길 11-8,37.538407,126.989041,2858.0,용산구
동자어린이공원,어린이공원,서울특별시 용산구 한강대로104길 30-4,37.55008633,126.973945,712.0,용산구
늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로41가길 14-19,37.53479369,126.956553,2300.0,용산구
새나라어린이공원,어린이공원,서울특별시 용산구 후암로13가길 25,37.548319,126.9763669,2340.0,용산구
효창공원,근린공원,서울특별시 용산구 임정로 26,37.544278,126.959255,171277.0,용산구
당산근린공원,근린공원,서울특별시 영등포구 당산로27길 12,37.52521794,126.8951468,11154.0,영등포구
신길근린공원,근린공원,서울특별시 영등포구 도림로80길 6,37.501712,126.905408,19604.0,영등포구
자매근린공원,근린공원,서울특별시 영등포구 의사당대로 지하 166,37.5180209,126.9309951,16458.0,영등포구
중마루근린공원,근린공원,서울특별시 영등포구 영등포로53길 14,37.519919,126.911497,6456.0,영등포구
영등포근린공원,근린공원,서울특별시 영등포구 신길로 275,37.516127,126.912126,61544.0,영등포구
신우어린이공원,어린이공원,서울특별시 영등포구 가마산로47길 13,37.503539,126.899081,3112.0,영등포구
동심어린이공원,어린이공원,서울특별시 영등포구 대림로35길 7,37.498712,126.897293,2820.0,영등포구
원지어린이공원,어린이공원,서울특별시 영등포구 도림로47길 28,37.497618,126.899642,4845.0,영등포구
조롱박어린이공원,어린이공원,서울특별시 영등포구 대림로 106,37.491332,126.903016,6969.0,영등포구
다사랑어린이공원,어린이공원,서울특별시 영등포구 대림로23가길 5,37.492834,126.899215,1632.0,영등포구
양남어린이공원,어린이공원,서울특별시 영등포구 선유로23길 18,37.523205,126.888303,1467.0,영등포구
자유어린이공원,어린이공원,서울특별시 영등포구 63로 45,37.521353,126.937326,5385.0,영등포구
평화어린이공원,어린이공원,서울특별시 영등포구 63로 45,37.52135273,126.9373261,4595.0,영등포구
중앙어린이공원,어린이공원,서울특별시 영등포구 영등포로35길 13,37.52147175,126.9032729,3671.0,영등포구
당산나루소공원,소공원,서울특별시 영등포구 당산로 205,37.532814,126.900128,1279.0,영등포구
도리미소공원,소공원,서울특별시 영등포구 도림로 112나길 4,37.509476,126.9021917,1859.0,영등포구
새싹어린이공원,어린이공원,서울특별시 용산구 이촌로14길 11-22,37.526961,126.954522,480.0,용산구
신계공원,역사공원,서울특별시 용산구 청파로 139-25,37.535079,126.966284,15000.0,용산구
돌모루어린이공원,어린이공원,서울특별시 용산구 원효로97길 50,37.542772,126.9685904,3447.0,용산구
이태원부군당,역사공원,서울특별시 용산구 녹사평대로40다길 33,37.535801,126.989755,2020.0,용산구
송파,근린공원,서울특별시 송파구 송파대로42길 29,37.50633354,127.110451,6621.2,송파구
소리,근린공원,서울특별시 송파구 법원로5길 3,37.4816116181,127.1199678258,36638.3,송파구
삼전,근린공원,서울특별시 송파구 백제고분로32길 630,37.50179286,127.0933328,6607.6,송파구
백토,근린공원,서울특별시 송파구 양재대로72길 478,37.50811694,127.132113,10024.1,송파구
방이,근린공원,서울특별시 송파구 백제고분로 489,37.51435318,127.1136443,6930.1,송파구
목련,근린공원,서울특별시 송파구 동남로24길 25,37.499035,127.138842,8127.4,송파구
마천,근린공원,서울특별시 송파구 성내천로23길 12,37.50128584,127.1456483,10962.5,송파구
누에머리,근린공원,서울특별시 송파구 동남로30길 29,37.50381027,127.141799,18607.5,송파구
건너말,근린공원,서울특별시 송파구 중대로10길 29,37.491603,127.123473,11327.8,송파구
거여,근린공원,서울특별시 송파구 오금로51길 20,37.497007,127.140981,16185.1,송파구
개롱,근린공원,서울특별시 송파구 동남로 178,37.493407,127.130026,21544.4,송파구
가락,근린공원,서울특별시 송파구 양재대로64길 42,37.498469,127.125124,27648.2,송파구
개미,어린이공원,서울특별시 송파구 오금로62길 133,37.4921999,127.146735,1500.4,송파구
개나리,어린이공원,서울특별시 송파구 새말로10길 316,37.482425,127.1283131,1312.2,송파구
천마,근린공원,서울특별시 송파구 성내천로35길 53,37.500386,127.158815,182420.0,송파구
장수,근린공원,서울특별시 송파구 충민로 120,37.480889,127.1304766,9949.0,송파구
잠실,근린공원,서울특별시 송파구 백제고분로15길 7,37.50621827,127.084165,6613.3,송파구
웃말,근린공원,서울특별시 송파구 송이로15길 41,37.50167671,127.123153,11098.2,송파구
오금,근린공원,서울특별시 송파구 동남로 263,37.499994,127.134853,219167.4,송파구
연화,근린공원,서울특별시 송파구 새말로15길 175,37.485159989,127.1297173897,14318.2,송파구
아시아,근린공원,서울특별시 송파구 올림픽로 44,37.51068203,127.0759347,66027.8,송파구
숯내,근린공원,서울특별시 송파구 중대로4길 4,37.48970385,127.111231,10206.5,송파구
송파나루,근린공원,"서울특별시 송파구 잠실로 180, 삼학사로 136",37.51210416,127.1077049,285757.6,송파구
색동,어린이공원,서울특별시 관악구 신림로70길 74,37.486533,126.932555,952.0,관악구
남부,어린이공원,서울특별시 관악구 남부순환로163가길 20,37.48480913,126.920679,990.0,관악구
예촌,어린이공원,서울특별시 관악구 남현길 41,37.47453441,126.9768782,1509.0,관악구
상록,어린이공원,서울특별시 관악구 승방3나길 14,37.472906,126.980544,1557.0,관악구
해태,어린이공원,서울특별시 관악구 서림3길 47,37.472323,126.940612,1359.0,관악구
상도근린공원,근린공원,서울특별시 관악구 국회단지길 144,37.491879,126.9414281,87458.0,관악구
새빛,어린이공원,서울특별시 관악구 신사로10길 29,37.486319,126.915149,875.0,관악구
새싹,어린이공원,서울특별시 관악구 양녕로6다길 11-4,37.484451,126.949378,1797.0,관악구
중앙,어린이공원,서울특별시 관악구 봉천로41길 35,37.484446,126.948278,977.0,관악구
선봉,어린이공원,서울특별시 관악구 봉천로27길 20,37.485144,126.939678,1021.0,관악구
문성,어린이공원,서울특별시 관악구 시흥대로164길 27,37.482015,126.9028913,988.0,관악구
신림근린공원,근린공원,서울특별시 관악구 남부순환로152길 53,37.480884,126.918234,90960.0,관악구
백설,어린이공원,서울특별시 관악구 관악로6길 50,37.476236,126.953512,1655.0,관악구
서원,어린이공원,서울특별시 관악구 서원3길 10,37.476815,126.933237,2324.0,관악구
