name,station_no,node_id,latitude,longitude
통인시장,100900020,01519,37.5804417494,126.9684956941
양현관,100900021,01520,37.5897914226,126.9936043615
국민생활관,100900017,01521,37.5897456349,126.9988619666
오거리,100900016,01522,37.6070621164,126.9622629001
경희궁자이2.3단지,100900015,01523,37.5687871134,126.9640686009
창신쌍용2단지.한성대후문,100900013,01524,37.5812647965,127.0127581151
통일부,100900045,01525,37.5875948053,126.9859476734
원서고개,100900011,01526,37.583080553,126.9878088426
종로5가입구,100900009,01528,37.5717928476,126.9976709493
삼청파출소,100900007,01529,37.581813662,126.9812510491
오거리.한옥마을입구,100900005,01530,37.579404615,126.9696088803
명륜시장.성대후문,100900046,01531,37.5885110529,126.9952543092
혜화초등학교,100900003,01532,37.5872532276,126.9998516643
청련사입구,100900072,01533,37.6079803769,126.9624312007
영천시장,100900071,01534,37.5700818569,126.9627388724
명신초.삼선푸르지오.힐스테이트,100900070,01535,37.5821062067,127.014556281
감사원,100900069,01536,37.5862106518,126.9852900569
중앙중고,100900068,01537,37.583092177,126.986965299
인왕빌딩,100900067,01538,37.6079283311,126.9577443332
종로4가.종묘공원,100900066,01539,37.5706890289,126.9946203403
국립민속박물관,100900174,01540,37.5792551846,126.9795533717
광화문새마을금고,100900065,01541,37.5793687689,126.9711466491
새마을금고,100900064,01542,37.5877370613,126.996518051
혜화우체국,100900063,01543,37.5860376565,127.0006137149
언덕앞,100900062,01544,37.6089539753,126.9637921715
경희궁자이4단지,100900061,01545,37.5707022242,126.9621148375
종로센트레빌후문.e편한세상보문아파트,100900060,01546,37.5817743934,127.0161855253
사우디대사관앞.북촌힐스,100900059,01547,37.5841056738,126.9850311776
안국선원.삼거리,100900058,01548,37.5827909789,126.984994076
구기터널입구,100900182,01549,37.6082046142,126.9567768927
종로3가역9번출구,100900057,01550,37.5710875771,126.9920931881
경복궁,100900056,01551,37.576950157,126.9793377561
소나무집,100900054,01553,37.6112770717,126.964110466
독립문역3번출구,100900186,01554,37.5728784775,126.9597453483
청룡사.보문파크뷰자이아파트,100900053,01555,37.5800189539,127.01700714
북촌한옥마을입구.정세권활동터,100900052,01556,37.5815997311,126.9849422317
종로1.2.3.4가동주민센터,100900217,01557,37.5743837122,126.9911314256
창덕궁,100900051,01558,37.5760892484,126.9906200153
아름다운실버,100900050,01561,37.6120100581,126.965463701
독립문초등학교,100900049,01562,37.5738699714,126.9606775165
종로센트레빌아파트,100900206,01563,37.5803534405,127.0156926979
가회동주민센터,100900048,01564,37.579972942,126.9849543284
구기빌라,100900097,01565,37.6062686142,126.9579797248
원남로터리,100900096,01566,37.5762373738,126.997511497
보현산신각,100900095,01567,37.6134825236,126.9657790521
린덴바움숲유치원,100900094,01568,37.5746692802,126.9618040443
쌍용아파트입구.창신역,100900093,01569,37.580511226,127.0149635738
아름다운가게.정독도서관,100900092,01570,37.5789480833,126.9851271782
산정빌라,100900091,01571,37.6051519935,126.9574922002
이화사거리,100900090,01572,37.5765095598,127.0020914666
박종화고택입구,100900089,01573,37.6143102577,126.9676873462
무악현대아파트후문,100900088,01574,37.5763372261,126.9619411637
헌법재판소.안국역,100900086,01576,37.5773871956,126.9858152185
청구빌라,100900184,01577,37.6046102563,126.9569839726
서울대어린이병원응급실.갑상선센터,100900085,01578,37.5781188768,126.9995029662
화인빌라,100900083,01580,37.6129345305,126.9685386165
행촌주차장,100900082,01581,37.5752728058,126.9628880463
창신초등학교,100900207,01582,37.5769032044,127.0153885503
수운회관,100900081,01583,37.5752189424,126.986669266
상명대후문,100900080,01584,37.6040255786,126.9573354115
힐탑,100900079,01586,37.6116055569,126.9690205751
성결교신대원총회본부,100900187,01587,37.5739763092,126.9634445669
낙원상가,100900078,01589,37.5737563689,126.9874148722
완성빌라,100900077,01590,37.6034020863,126.9575011241
서울대병원장례식장,100900076,01591,37.5805553988,126.9974309648
혜화역1번출구,100900075,01592,37.5834729904,127.0017632862
감나무골공원,100900074,01593,37.6124059606,126.9699479367
한국사회과학도서관.이회영기념관,100900073,01594,37.5736670147,126.9641239308
동묘앞역8번출구,100900205,01595,37.5726943506,127.0142453819
종로2가.탑골공원,100900121,01596,37.571455,126.98744
경진빌라,100900120,01597,37.6020037175,126.9578303612
성대입구,100900198,01598,37.5833533096,126.9992849459
청와대,100000416,01601,37.5829712951,126.973768082
춘추문,100000417,01602,37.5831276121,126.9796554436
경복궁.국립민속박물관,100000418,01603,37.5794135204,126.9795911351
EN갤러리,100900119,01607,37.6134217965,126.9706087294
유림회관앞,100000421,01612,37.5858955968,126.9969805237
성균관대정문,100900218,01615,37.5849563466,126.9966204422
600주년기념관,100900219,01616,37.5873281035,126.9939426439
성균관대운동장,100900220,01617,37.587863,126.99237
학생회관,100900221,01618,37.5874203934,126.9936746328
종로문화체육센터,100900118,01667,37.5746935562,126.9645321424
동대문역2번출구,100900117,01682,37.5720494465,127.0117218002
종각역.YMCA,100900116,01683,37.5703976388,126.98508926
서교빌라,100900115,01684,37.601989057,126.9571553655
경복궁역,100900177,01685,37.5770722054,126.9724733176
성대입구,100900199,01697,37.5832668015,126.998853007
무애사,100900114,01698,37.6139004282,126.9718458037
단군성전앞,100900113,01699,37.5755600915,126.9653175119
동대문종합시장,100900192,01702,37.5712161296,127.004958038
상명초등학교,100900112,01714,37.6009238115,126.956715418
법련사,100900179,01720,37.5765879752,126.9796650539
광화문새마을금고,100900111,01721,37.5794930902,126.9710277184
성균관대학교,100900110,01722,37.584886,126.996646
참샘골공원,100900109,01723,37.6146097003,126.9742524976
황학정앞,100900108,01724,37.5768126115,126.9653293849
종로5가역.중부교육지원청,100900107,01725,37.5714192458,127.0020898456
인사동들머리.3.1독립선언터,100900106,01727,37.5719470235,126.983296967
정독도서관,100900105,01728,37.5802605382,126.980080541
오거리.한옥마을입구,100900104,01729,37.5794684375,126.9697392663
평창공원지킴터입구,100900103,01732,37.6163963984,126.9757438761
창경궁.고궁호텔.메이플레이스호텔,100000360,01733,37.5765581609,126.9974492169
광화문,100000329,01762,37.5703374879,126.9755694982
종로1가,100000330,01763,37.57037,126.980129
종로2가,100000333,01766,37.5700824558,126.9864618183
종로3가역11번출구,100000334,01767,37.5706348964,126.9932082199
종로3가,100000335,01768,37.5701024255,126.9909932186
종로4가,100000336,01769,37.5704692645,126.9962507486
동대문종합시장.종로6가,100000338,01771,37.5708647997,127.0032911936
종로도서관,100900102,01776,37.5764842271,126.9671251598
경복궁역,100000343,01777,37.5761780936,126.9715056448
경복궁역7번출구,100000344,01778,37.5758191735,126.971681974
안국역,100000345,01779,37.5766137515,126.985229602
안국역,100000346,01780,37.5763185096,126.9855059829
창덕궁,100000347,01781,37.5775204226,126.9889000774
성대입구,100000348,01782,37.5832827975,126.9992357955
종로사우나,100900101,01790,37.5738011149,126.9877503526
홍지파크,100900180,01791,37.6012424257,126.9557163281
삼청파출소,100900100,01792,37.58164517,126.9813258198
통인시장.종로구보건소,100900099,01793,37.5803350289,126.9687504797
종로5가역.광장시장,100900191,01794,37.5707724724,127.000038992
평창동산림제3초소,100900098,01795,37.6173560499,126.9771030504
배화여중고,100900145,01796,37.5767787564,126.9676986337
대학로입구.이화사거리,100900143,01797,37.5759841652,127.0025801998
운현궁,100900144,01798,37.5752716136,126.9869813803
상명대입구,100900142,01799,37.6000210109,126.9569583018
삼청동주민센터,100900141,01800,37.5846846831,126.9822105151
박노수미술관,100900140,01801,37.5810265604,126.9668944502
김창열.윤명로화실,100900139,01802,37.616304998,126.9783685436
사직공원.경복궁역입구,100900138,01803,37.5762206893,126.9689039095
충신시장,100900137,01804,37.5749766498,127.005404874
안국역2번출구앞,100900189,01805,37.5771728174,126.9861183272
금융연수원,100900135,01807,37.5858776706,126.981847891
감람산기도원,100900134,01809,37.6159439291,126.9798729651
카센터.사직터널앞,100900133,01810,37.57409862,126.9658895166
재동초등학교,100900131,01812,37.578791085,126.9853617134
삼청공원삼거리.옥호정터,100900129,01814,37.5874185176,126.9817444742
이화사거리,100900128,01815,37.5753200672,127.0022812884
연화정사,100900127,01816,37.6146490046,126.9794938432
대신중고,100900126,01817,37.5726178078,126.9616893251
현대사거리,100900125,01819,37.5792417814,126.9866353642
교남동주민센터,100900215,01820,37.5721819807,126.9613278115
부암동주민센터.무계원,100900181,01821,37.5929353403,126.9637682263
형제봉입구,100900124,01823,37.6128643152,126.9816861503
교남동새마을금고,100900123,01824,37.5714943551,126.962337459
창신초교,100900122,01825,37.5760372123,127.0157200961
가회동주민센터,100900168,01826,37.5799426497,126.9851293823
볼링장,100900167,01827,37.5792554401,126.9879589184
석파정.서울미술관,100900166,01829,37.5947643228,126.9637824182
지구촌교회,100900165,01830,37.6131060324,126.9792421489
월암공원,100900164,01831,37.5712260916,126.9646918774
숭인1동주민센터,100900163,01832,37.5774150014,127.0155607478
북촌한옥마을입구.정세권활동터,100900162,01833,37.5812807738,126.9851687446
하림각,100900161,01835,37.5976847268,126.9629663842
보현빌라,100900160,01836,37.6153822583,126.9784205906
스위스대사관,100900159,01837,37.5701413179,126.9656960774
안국선원.삼거리,100900157,01839,37.5827432497,126.9852205387
세검정교회,100900156,01840,37.5993880238,126.9600291533
혜화동로터리,100900200,01841,37.5859196111,127.0010032298
김종영미술관,100900155,01842,37.6132637884,126.9781122953
서울시교육청,100900154,01843,37.569381682,126.9666998924
창신쌍용1단지.종로센트레빌아파트,100900210,01844,37.5803228198,127.0155692785
사우디대사관.북촌힐스,100900153,01845,37.583863308,126.9852486243
상명대입구,100900152,01846,37.5998544708,126.9574023475
혜화초등학교,100900151,01847,37.5873892922,126.9999909413
강북삼성병원,100900149,01849,37.5685315243,126.9683376852
청룡사.보문파크뷰자이아파트,100900148,01850,37.5797846496,127.0171508787
감사원,100900147,01851,37.5862656518,126.9855618026
국민생활관,100900201,01852,37.5896275957,126.9993137839
종로센트레빌후문.e편한세상보문아파트,100900173,01855,37.5818978359,127.0162353711
통일부,100900172,01856,37.5875308468,126.9861073451
서울국제고등학교,100900171,01858,37.5890742944,126.9971407875
성대후문.와룡공원,100900203,01860,37.5891522774,126.989734001
상명초등학교,100900170,01861,37.600904926,126.9568173576
새마을금고,100900169,01862,37.5878406881,126.9965690016
경진빌라,100900002,01863,37.6018640911,126.9579482257
명륜시장.성대후문,100900004,01864,37.5887246101,126.9952305162
완성빌라,100900006,01865,37.6033399708,126.9576665157
양현관,100900008,01866,37.5897680031,126.9937685575
상명대후문,100900010,01868,37.6040715802,126.9574633677
샘미용실.종로구청소년상담복지센터,100900012,01869,37.5902545716,126.9934084203
산정빌라,100900014,01870,37.6052835831,126.9575782035
구기빌라,100900018,01872,37.6061334517,126.9579809335
마트앞,100900019,01873,37.6066987064,126.958756466
국민은행.세검정지점,100900022,01874,37.6049541749,126.9608727063
혜화역4번출구,100900027,01876,37.5835080381,127.0015538872
방송통신대앞,100900028,01877,37.5786973612,127.0019926794
서울대치과대학,100900030,01878,37.5774082997,126.997800962
효제초교.연동교회.김마리아활동터,100900033,01879,37.5736413355,127.0022087811
성균관대학교,100900204,01881,37.5884638684,126.9900035953
서울대치과대학,100900038,01883,37.5775727323,126.9978632209
이화사거리,100900043,01886,37.5769483437,127.0020084833
서울대학교병원현관.암병원현관,100900042,01887,37.5790872846,126.9981631637
종각.공평유적전시관,100900211,01888,37.57164,126.98319
조계사,100900213,01889,37.5736021088,126.9831364101
동대문역JW메리어트동대문호텔,100000399,01901,37.5706369793,127.0092820998
대학로,100000407,01902,37.58189612,127.0021204164
창경궁,100000408,01903,37.5791596347,126.9964163097
창덕궁,100000409,01904,37.5775301708,126.9901776043
인사동.북촌,100000410,01905,37.5758950223,126.9837977873
경복궁.국립민속박물관,100000411,01906,37.579339181,126.9795487018
세종문화회관,100000412,01907,37.5731388499,126.9769120216
통인시장,100000401,01910,37.5791187605,126.9713315727
세종문화회관,100000402,01911,37.5731558567,126.9770139456
종각역,101000313,01912,37.5693799579,126.9828944171
인사동.탑골공원,100000403,01913,37.5701155367,126.9888006413
종묘.세운상가,100000404,01914,37.5703736241,126.9934997231
광장시장,100000405,01915,37.5707521431,126.9996789008
동묘.숭인동도깨비시장,100000406,01916,37.5734766013,127.0180439092
서울풍물시장,105000553,01917,37.5733400255,127.0231780999
청와대,100000400,01918,37.582684814,126.9737600308
서울역사박물관.경희궁,100000422,01919,37.569902,126.971956
명동성당.남대문세무서,101000001,02001,37.5649848069,126.9875299251
국가인권위.안중근활동터,101000002,02002,37.5643504711,126.9878515151
서울역버스환승센터,101000003,02003,37.5551460158,126.9722570849
서울역버스환승센터,101000004,02004,37.5554029828,126.9725924801
서울역버스환승센터,101000005,02005,37.555388989,126.9727238221
서울역버스환승센터,101000006,02006,37.5554794133,126.9728547738
서울역버스환승센터.강우규의거터,101000007,02007,37.5554141603,126.9729402621
숭례문,101000008,02008,37.5586388574,126.9737783904
서울시청,101000303,02100,37.5661382638,126.9806320857
만리동고개,101000009,02101,37.551787064,126.9626582054
손기정체육공원입구,101000010,02102,37.5544459527,126.9662339013
서울의료보건고등학교.서울역서부,101000011,02103,37.5558478973,126.9689026242
서울역서부,101000012,02104,37.556237644,126.9691514463
서울역서부,101000013,02105,37.555855,126.969293
중림동교차로,101000014,02106,37.5583836266,126.9691354395
중림동.충정로역2호선,101000015,02107,37.559839,126.964879
한국경제신문사.서소문역사공원,101000016,02108,37.5602111497,126.9678680149
한국경제신문사.서소문역사공원,101000017,02109,37.5606234736,126.9681135141
경찰청.동북아역사재단,101000018,02110,37.5630494858,126.9691267228
장충동써미트호텔,101000300,02111,37.5622736605,127.0066750078
농협은행.유관순활동터,101000020,02113,37.5649062803,126.9677868059
염천교,101000021,02116,37.5598696316,126.97311408
숭례문,101000022,02117,37.5584010617,126.97335794
숭례문.한국일보,101000023,02118,37.5587713091,126.9737375955
후암삼거리,101000025,02120,37.5534055956,126.9759937564
숭례문,101000026,02121,37.5587633765,126.974362745
숭례문,101000027,02122,37.5584195299,126.9740436876
숭례문.서울역4번출구,101000028,02123,37.5580006528,126.9736279452
숭례문.남대문시장8번출입구,101000029,02124,37.5588723988,126.9759976615
숭례문남산방향,101000030,02125,37.5585581643,126.9756720863
남대문시장.신세계앞,101000031,02126,37.561191081,126.9800597585
북창동.남대문시장,101000032,02127,37.561273,126.978555
소공동주민센터,101000033,02128,37.562197167,126.97644367
삼성본관앞,101000034,02131,37.5620517519,126.9759075283
시청역8번출구,101000035,02132,37.562764205,126.976148714
시청역9번출구.시청서소문2청사,101000036,02133,37.5631901447,126.9746522037
시청역11번출구,101000037,02134,37.563722,126.975314
시청.서소문청사,101000038,02135,37.5635248407,126.9749539314
광교,101000333,02136,37.5681069154,126.9828444051
서울신문사,101000039,02137,37.5683632936,126.9773647051
명동성당,101000337,02138,37.564974163,126.9874193795
우리은행종로지점,101000040,02139,37.5678390393,126.9828658628
롯데백화점,101000041,02140,37.5645069796,126.9822069938
소공동.롯데영플라자,101000042,02141,37.5628907847,126.9815478394
명동.롯데영플라자,101000043,02142,37.562885,126.982008
명동입구B,101000334,02143,37.5644247651,126.9823981134
신세계백화점,101000045,02144,37.561127344,126.9814315438
남대문시장.회현역,101000046,02145,37.5582675237,126.9777650546
남대문시장.회현역,101000047,02146,37.5584920257,126.9784645011
남산3호터널,101000048,02147,37.5583104538,126.9827404025
남산3호터널.정화예술대학교,101000049,02148,37.5595260891,126.9826359346
명동역4번출구,101000050,02149,37.560657849,126.9849157703
퇴계로2가.명동역5번출구,101000051,02150,37.5609325805,126.9843582953
충무로역.한옥마을.한국의집,101000052,02151,37.5612508237,126.9917771969
충무로역.한옥마을.한국의집,101000053,02152,37.5609019668,126.9924098253
충무로역2번출구,101000054,02153,37.5612375854,126.9947285429
충무로역8번출구,101000055,02154,37.5620371603,126.9964921507
초동,101000056,02155,37.5633461766,126.9931119513
을지로입구.로얄호텔,101000057,02156,37.5658757422,126.9853902774
을지로입구.시청입구,101000058,02157,37.5661382638,126.9811712097
을지로2가.기업은행본점.서울노동청,101000059,02158,37.566246226,126.9865233528
을지로2가.파인에비뉴,101000060,02159,37.5660727123,126.988670826
을지로3가,101000061,02160,37.5663729806,126.9902600103
을지로3가,101000062,02161,37.5661389597,126.9914237666
을지로4가,101000063,02162,37.5666841559,126.9959336364
을지로4가.베스트웨스턴국도,101000064,02163,37.5664010399,126.9968473297
중구청앞.덕수중학교,101000065,02164,37.564717315,126.9981484996
방산시장.을지로4가역6번출구,101000066,02165,37.5668182855,126.999258524
