district_name,name,category,course,address
마포구,드뮤잉글리쉬아트랩미술학원,예능(대),,서울특별시 마포구 백범로37길 16
서초구,커뮤니케이션티움학원,기예(대),,서울특별시 서초구 동작대로 90
도봉구,민트윈드(MintWind)기타교습소,예능(대),음악,서울특별시 도봉구 해등로 109
동대문구,아트앤하트답십리세기미술교습소,예능(대),미술,서울특별시 동대문구 답십리로 140
송파구,리틀스콜라스(Little Scholars)영어학원,입시.검정 및 보습,보습,서울특별시 송파구 올림픽로35길 124
노원구,에이던스영어학원,입시.검정 및 보습,,서울특별시 노원구 섬밭로 258
노원구,보람홍익미술학원,예능(대),미술,서울특별시 노원구 한글비석로 474
강서구,필즈더클래식마곡센터학원,입시.검정 및 보습,보습·논술,서울특별시 강서구 마곡중앙로 59-21
송파구,아트앤하트송파시그니처롯데캐슬미술교습소,예능(대),,서울특별시 송파구 거마로 56
동대문구,사고력처음수학교습소,입시.검정 및 보습,,서울특별시 동대문구 사가정로 65
송파구,가비국영수학원,입시.검정 및 보습,보습,서울특별시 송파구 위례광장로 200
강동구,레오댄스교습소,기타(대),,서울특별시 강동구 천중로15나길 7
강서구,이은혜꼼꼼영어교습소,입시.검정 및 보습,,서울특별시 강서구 양천로 109
은평구,우주퍼씰수학전문학원,입시.검정 및 보습,보습,서울특별시 은평구 은평로16길 9-1
마포구,스머글러스아카데미비트메이킹전문학원,직업기술,실용음악(성악),서울특별시 마포구 양화진4길 33-12
노원구,수만휘스파르타노원수학교습소,입시.검정 및 보습,보습,서울특별시 노원구 노원로 246
강남구,헤라클레스조형관미술학원,예능(대),미술,서울특별시 강남구 역삼로63길 14
강남구,피케이(PK)독학재수대치본원학원,입시.검정 및 보습,보습·논술,서울특별시 강남구 역삼로 424
강동구,뉴턴의과학실험실과학교습소,입시.검정 및 보습,,서울특별시 강동구 아리수로50길 50
강남구,비이케이프렙비(BEK PREP-B)학원,종합(대),진학상담지도,서울특별시 강남구 역삼로 248
양천구,더생각나무수학교습소,입시.검정 및 보습,보습,서울특별시 양천구 신정이펜2로 20
서초구,연음뮤직스튜디오음악교습소,예능(대),,서울특별시 서초구 효령로 403
마포구,플래뮤마포프레스티지미술교습소,예능(대),미술,서울특별시 마포구 대흥로24길 24
강남구,에크리뛰르뮤직아카데미학원,예능(대),음악,서울특별시 강남구 영동대로115길 5
강남구,아미영어리드에이아이(AI)학원,입시.검정 및 보습,보습·논술,서울특별시 강남구 선릉로6길 20
양천구,발레스테이지학원,기예(대),,서울특별시 양천구 신목로 53
