district_name,legal_dong,admin_code,admin_name
송파구,송파동,11710580,송파1동
송파구,석촌동,11710600,석촌동
서초구,염곡동,11650660,내곡동
서초구,신원동,11650660,내곡동
강남구,역삼동,11680650,역삼2동
종로구,명륜4가,11110650,혜화동
종로구,명륜3가,11110650,혜화동
강서구,방화동,11500641,방화3동
강서구,방화동,11500640,방화2동
강남구,일원동,11680740,일원2동
강남구,개포동,11680740,일원2동
강남구,대치동,11680740,일원2동
강동구,상일동,11740520,상일동
강동구,상일동,11740515,강일동
구로구,항동,11530780,오류2동
서대문구,대현동,11410555,북아현동
노원구,상계동,11350624,중계4동
동대문구,전농동,11230600,답십리1동
강서구,염창동,11500605,가양3동
