admin_code,admin_name,district_name,area_km2,station_count,station_density,bus_stop_count,bus_stop_density,hospital_count,hospital_density,school_count,school_density,mart_count,mart_density,convenience_count,convenience_density,laundry_count,laundry_density,academy_count,academy_density,park_count,park_density,park_area_sum,park_area_ratio
11140570,필동,중구,1.4646861765373338,2.0,1.3654802182459331,10,6.827401091229666,24.0,16.385762618951198,3.0,2.0482203273688997,12,8.192881309475599,28,19.116723055443064,5,3.413700545614833,59,40.28166643825503,0.0,0.0,0.0,0.0
11140580,장충동,중구,1.017924655243682,1.0,0.9823909803624994,13,12.771082744712492,4.0,3.9295639214499976,1.0,0.9823909803624994,4,3.9295639214499976,11,10.806300783987494,1,0.9823909803624994,21,20.63021058761249,0.0,0.0,0.0,0.0
11140590,광희동,중구,0.7372036618429814,3.0,4.0694317666574165,24,32.55545413325933,35.0,47.47670394433652,1.0,1.356477255552472,61,82.74511258870079,43,58.3285219887563,4,5.425909022209888,52,70.53681728872854,0.0,0.0,0.0,0.0
11140605,을지로동,중구,0.6115240903243367,4.0,6.541034218093522,17,27.799395426897465,35.0,57.23404940831831,0.0,0.0,40,65.41034218093522,33,53.96353229927155,4,6.541034218093522,44,71.95137639902873,0.0,0.0,0.0,0.0
11140615,신당동,중구,0.534941537685648,1.0,1.869363153824929,8,14.954905230599431,18.0,33.64853676884872,5.0,9.346815769124644,39,72.90516299917222,24,44.864715691798295,8,14.954905230599431,17,31.77917361502379,0.0,0.0,0.0,0.0
11140625,다산동,중구,0.5239706708470947,1.0,1.9085037687001003,8,15.268030149600802,37.0,70.6146394419037,4.0,7.634015074800401,17,32.4445640679017,12,22.902045224401203,4,7.634015074800401,47,89.69967712890471,0.0,0.0,0.0,0.0
11140635,약수동,중구,0.4863690651728499,2.0,4.112103633254765,12,24.672621799528596,43.0,88.41022811497747,0.0,0.0,9,18.504466349646446,8,16.44841453301906,6,12.336310899764298,45,92.52233174823223,0.0,0.0,0.0,0.0
11140645,청구동,중구,0.3425706857088404,2.0,5.838211158849275,5,14.595527897123187,11.0,32.11016137367101,4.0,11.67642231769855,3,8.757316738273913,6,17.514633476547825,4,11.67642231769855,42,122.60243433583477,0.0,0.0,0.0,0.0
11140650,신당5동,중구,0.3197061452928083,0.0,0.0,8,25.02297850006313,27.0,84.45255243771305,2.0,6.255744625015782,10,31.27872312507891,7,21.895106187555236,7,21.895106187555236,20,62.55744625015782,0.0,0.0,0.0,0.0
11140665,동화동,중구,0.32704543464087543,0.0,0.0,4,12.230716519227217,12.0,36.692149557681645,2.0,6.1153582596136085,6,18.346074778840823,10,30.57679129806804,4,12.230716519227217,25,76.4419782451701,0.0,0.0,0.0,0.0
11140670,황학동,중구,0.3286395905475642,1.0,3.0428470237984593,7,21.299929166589216,30.0,91.28541071395378,0.0,0.0,24,73.02832857116303,9,27.385623214186133,8,24.342776190387674,24,73.02832857116303,0.0,0.0,0.0,0.0
11140680,중림동,중구,0.4843841703669915,0.0,0.0,9,18.58029339229065,19.0,39.22506382816915,4.0,8.2579081743514,11,22.70924747946635,12,24.7737245230542,3,6.19343113076355,25,51.61192608969625,0.0,0.0,0.0,0.0
11290575,동선동,성북구,0.7249571852085789,2.0,2.7587836093031837,17,23.449660679077063,66.0,91.03985910700507,5.0,6.89695902325796,27,37.24357872559298,29,40.00236233489617,14,19.311485265122286,147,202.77059528378402,0.0,0.0,0.0,0.0
11290580,돈암1동,성북구,0.48889829769242904,0.0,0.0,14,28.63581253213433,11.0,22.499566989534117,5.0,10.22707590433369,4,8.181660723466951,6,12.272491085200427,3,6.136245542600213,55,112.49783494767058,2.0,4.090830361733476,210213.0,0.4299728614155396
11290590,돈암2동,성북구,0.5183347807209006,0.0,0.0,34,65.59467213971782,11.0,21.221805692261647,1.0,1.929255062932877,6,11.575530377597262,5,9.646275314664384,2,3.858510125865754,51,98.39200820957673,0.0,0.0,0.0,0.0
11290600,안암동,성북구,1.3795708359327372,2.0,1.4497262104325266,31,22.47075626170416,15.0,10.87294657824395,3.0,2.17458931564879,18,13.04753589389274,38,27.544797998218005,13,9.423220367811423,83,60.16363773294985,0.0,0.0,0.0,0.0
11290610,보문동,성북구,0.5530062074497223,2.0,3.6165959315779186,9,16.274681692100632,20.0,36.16595931577918,2.0,3.6165959315779186,14,25.31617152104543,16,28.93276745262335,10,18.08297965788959,41,74.14021659734733,1.0,1.8082979657889593,6730.0,0.012169845309759694
11290620,정릉1동,성북구,0.41236537886676106,0.0,0.0,16,38.8005415099839,15.0,36.37550766560991,1.0,2.425033844373994,14,33.95047382123591,12,29.100406132487926,8,19.40027075499195,72,174.60243679492754,0.0,0.0,0.0,0.0
11290630,정릉2동,성북구,1.0948894976867454,1.0,0.9133341785748923,46,42.01337221444504,29.0,26.486691178671876,2.0,1.8266683571497846,14,12.786678500048492,12,10.960010142898707,11,10.046675964323814,69,63.02005832166757,0.0,0.0,0.0,0.0
11290640,정릉3동,성북구,3.3271257789887154,0.0,0.0,32,9.61791111177241,5.0,1.502798611214439,4.0,1.2022388889715512,13,3.9072763891575413,18,5.410075000371981,12,3.6067166669146538,26,7.8145527783150825,1.0,0.3005597222428878,263.0,7.904720694987949e-05
11290650,정릉4동,성북구,3.570913738506884,1.0,0.2800403687203412,34,9.521372536491603,23.0,6.440928480567848,1.0,0.2800403687203412,16,4.480645899525459,16,4.480645899525459,10,2.800403687203412,66,18.48266433554252,0.0,0.0,0.0,0.0
11290660,길음1동,성북구,0.7973099557167435,1.0,1.2542173753506538,27,33.863869134467656,52.0,65.219303518234,5.0,6.2710868767532695,17,21.321695380961113,7,8.779521627454576,8,10.03373900280523,123,154.26873716813043,2.0,2.5084347507013076,1531.0,0.0019202068016618509
11290685,길음2동,성북구,0.5880017544320851,0.0,0.0,22,37.414854350644674,31.0,52.720931130453856,0.0,0.0,10,17.00675197756576,8,13.605401582052608,4,6.802700791026304,95,161.56414378687472,1.0,1.700675197756576,146038.0,0.24836320452997487
11290705,종암동,성북구,1.4045274834423893,0.0,0.0,59,42.00700996992634,53.0,37.73511065095078,5.0,3.5599160991463,23,16.37561405607298,24,17.08759727590224,21,14.95164761641446,149,106.08549975455973,0.0,0.0,0.0,0.0
11290715,월곡1동,성북구,0.8017569576318331,0.0,0.0,21,26.19247616138955,27.0,33.67604077892942,4.0,4.989043078359915,24,29.934258470159488,12,14.967129235079744,11,13.719868465489764,82,102.27538310637824,2.0,2.4945215391799573,234589.7,0.29259452975988226
